"fecha","cod_ine","CCAA","total","TMSTAMP"
"2020-03-17",7,"Castilla y León",12,"2020-03-29 06:29:47 UTC"
"2020-03-18",7,"Castilla y León",22,"2020-03-29 06:29:47 UTC"
"2020-03-19",7,"Castilla y León",29,"2020-03-29 06:29:47 UTC"
"2020-03-20",7,"Castilla y León",43,"2020-03-29 06:29:47 UTC"
"2020-03-21",7,"Castilla y León",55,"2020-03-29 06:29:47 UTC"
"2020-03-22",7,"Castilla y León",74,"2020-03-29 06:29:47 UTC"
"2020-03-23",7,"Castilla y León",102,"2020-03-29 06:29:47 UTC"
"2020-03-24",7,"Castilla y León",124,"2020-03-29 06:29:47 UTC"
"2020-03-25",7,"Castilla y León",165,"2020-03-29 06:29:47 UTC"
"2020-03-26",7,"Castilla y León",206,"2020-03-29 06:29:47 UTC"
"2020-03-27",7,"Castilla y León",252,"2020-03-29 06:29:47 UTC"
"2020-03-28",7,"Castilla y León",321,"2020-03-29 06:29:47 UTC"
"2020-03-03",9,"Cataluña",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",9,"Cataluña",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",9,"Cataluña",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",9,"Cataluña",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",9,"Cataluña",1,"2020-03-29 06:29:47 UTC"
"2020-03-08",9,"Cataluña",1,"2020-03-29 06:29:47 UTC"
"2020-03-09",9,"Cataluña",1,"2020-03-29 06:29:47 UTC"
"2020-03-10",9,"Cataluña",3,"2020-03-29 06:29:47 UTC"
"2020-03-11",9,"Cataluña",3,"2020-03-29 06:29:47 UTC"
"2020-03-12",9,"Cataluña",4,"2020-03-29 06:29:47 UTC"
"2020-03-13",9,"Cataluña",4,"2020-03-29 06:29:47 UTC"
"2020-03-14",9,"Cataluña",6,"2020-03-29 06:29:47 UTC"
"2020-03-15",9,"Cataluña",8,"2020-03-29 06:29:47 UTC"
"2020-03-16",9,"Cataluña",12,"2020-03-29 06:29:47 UTC"
"2020-03-17",9,"Cataluña",18,"2020-03-29 06:29:47 UTC"
"2020-03-18",9,"Cataluña",41,"2020-03-29 06:29:47 UTC"
"2020-03-19",9,"Cataluña",55,"2020-03-29 06:29:47 UTC"
"2020-03-20",9,"Cataluña",82,"2020-03-29 06:29:47 UTC"
"2020-03-21",9,"Cataluña",122,"2020-03-29 06:29:47 UTC"
"2020-03-22",9,"Cataluña",191,"2020-03-29 06:29:47 UTC"
"2020-03-23",9,"Cataluña",245,"2020-03-29 06:29:47 UTC"
"2020-03-24",9,"Cataluña",282,"2020-03-29 06:29:47 UTC"
"2020-03-25",9,"Cataluña",516,"2020-03-29 06:29:47 UTC"
"2020-03-26",9,"Cataluña",672,"2020-03-29 06:29:47 UTC"
"2020-03-27",9,"Cataluña",880,"2020-03-29 06:29:47 UTC"
"2020-03-28",9,"Cataluña",1070,"2020-03-29 06:29:47 UTC"
"2020-03-03",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-13",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-14",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-15",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-16",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-17",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-18",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-19",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-20",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-21",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-22",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-23",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-24",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-25",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-26",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-27",18,"Ceuta",0,"2020-03-29 06:29:47 UTC"
"2020-03-28",18,"Ceuta",1,"2020-03-29 06:29:47 UTC"
"2020-03-03",10,"C. Valenciana",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-05",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-06",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-07",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-08",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-09",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-10",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-11",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-12",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-13",10,"C. Valenciana",1,"2020-03-29 06:29:47 UTC"
"2020-03-14",10,"C. Valenciana",4,"2020-03-29 06:29:47 UTC"
"2020-03-15",10,"C. Valenciana",5,"2020-03-29 06:29:47 UTC"
"2020-03-16",10,"C. Valenciana",5,"2020-03-29 06:29:47 UTC"
"2020-03-17",10,"C. Valenciana",13,"2020-03-29 06:29:47 UTC"
"2020-03-18",10,"C. Valenciana",22,"2020-03-29 06:29:47 UTC"
"2020-03-19",10,"C. Valenciana",24,"2020-03-29 06:29:47 UTC"
"2020-03-20",10,"C. Valenciana",33,"2020-03-29 06:29:47 UTC"
"2020-03-21",10,"C. Valenciana",50,"2020-03-29 06:29:47 UTC"
"2020-03-22",10,"C. Valenciana",69,"2020-03-29 06:29:47 UTC"
"2020-03-23",10,"C. Valenciana",94,"2020-03-29 06:29:47 UTC"
"2020-03-24",10,"C. Valenciana",115,"2020-03-29 06:29:47 UTC"
"2020-03-25",10,"C. Valenciana",143,"2020-03-29 06:29:47 UTC"
"2020-03-26",10,"C. Valenciana",167,"2020-03-29 06:29:47 UTC"
"2020-03-27",10,"C. Valenciana",198,"2020-03-29 06:29:47 UTC"
